"side";"carryingcapacity";"regenrate";"agentdensity";"initialsuglevel";"metabolrangemax";"visionrangemax";"birthrate";"inboundrate";"outboundrate";"threshold";"period_1";"period_2";"period_3";"period_4";"period_5";"period_6";"period_7";"period_8";"period_9";"period_10";"period_11";"period_12";"period_13";"period_14";"period_15";"period_16";"period_17";"period_18";"period_19";"period_20";"period_21";"period_22";"period_23";"period_24";"period_25";"period_26";"period_27";"period_28";"period_29";"period_30";"inst_period_1";"inst_period_2";"inst_period_3";"inst_period_4";"inst_period_5";"inst_period_6";"inst_period_7";"inst_period_8";"inst_period_9";"inst_period_10";"inst_period_11";"inst_period_12";"inst_period_13";"inst_period_14";"inst_period_15";"inst_period_16";"inst_period_17";"inst_period_18";"inst_period_19";"inst_period_20";"inst_period_21";"inst_period_22";"inst_period_23";"inst_period_24";"inst_period_25";"inst_period_26";"inst_period_27";"inst_period_28";"inst_period_29";"inst_period_30"
12;3;1;0.34;2;1;4;0.19;0.27;0.37;4;0.0528841727856188;0.0788147639809281;0.0932505537321053;0.102389099664757;0.108773653604228;0.113470077085365;0.11705095178115;0.119871550500789;0.122150764070709;0.12403191355328;0.125611020458647;0.126956501330998;0.128115478518147;0.129124133764936;0.130009931604755;0.130794030109982;0.131492992749657;0.132119971350084;0.1326855414655;0.133198303750622;0.133665324394499;0.13409246271871;0.1344846182844;0.134845919673346;0.135179870396601;0.135489462875575;0.135777268359494;0.136045508504786;0.136296112836224;0.136530765235188;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;6;3;0.41;3;2;2;0.09;0.38;0.36;3;0.0137760006170299;0.0449235049419687;0.0606940579261609;0.070220323373799;0.0765980313982195;0.0811667668483826;0.0846005810406398;0.0872756413491935;0.0894184145714531;0.0911733974287555;0.0926371256769968;0.0938765482747298;0.094939555598039;0.0958613106933411;0.0966682138827243;0.0973804722979293;0.0980138153320915;0.0985806698255788;0.0990909835962041;0.099552814247297;0.099972757764566;0.100356265553392;0.100707882385507;0.101031427355172;0.101330133158295;0.101606754479213;0.10186365319412;0.102102865977259;0.102326158408921;0.102535068628183;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;2;4;0.39;4;3;3;0.03;0.39;0.21;3;0.0732040245775327;0.182604788220715;0.272151329866001;0.182291879916084;0.207167489438667;0.0896441130813207;0.0954948320900978;0.0860271289991556;0.107928572695934;0.109295525327464;0.161347648555184;0.169296472287443;0.197218178142577;0.20319261772;0.236039228160422;0.256973803304633;0.256841670136315;0.259426729780797;0.286032199421261;0.300464193041454;0.299101563684388;0.299328786637221;0.336997378725653;0.332123353603095;0.330407651073935;0.329298178684449;0.36178155728314;0.35706390444268;0.354801315840585;0.35291227546317;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;4;1;0.4;4;5;2;0.03;0.14;0.4;4;0.182932387841871;0.288685789096478;0.315306734005589;0.329160960597855;0.372097020424842;0.359893418625891;0.38567091085744;0.404001066079919;0.401249356747764;0.394537836906295;0.38173451785876;0.391470339417099;0.398171607289688;0.404813886960927;0.408027669312953;0.412267015319244;0.415565529875272;0.418709524355803;0.421597090463982;0.424243423865521;0.426677542025031;0.42892398787109;0.431003660256778;0.432934466082813;0.434731837219322;0.436409143836396;0.437978027580263;0.43944867216175;0.440830024657365;0.442129977688303;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;3;1;0.36;4;1;3;0.01;0.24;0.07;4;0.0347268257892372;0.05739840700205;0.0733636906363673;0.085214889591676;0.0943607309743413;0.101632670483107;0.107553109272587;0.112466780383038;0.116610360918905;0.120151732905347;0.123213285831987;0.125886348390892;0.128240454116099;0.130329476965283;0.132195804695864;0.133873245103788;0.135389092360731;0.136765623622751;0.138021201124588;0.139171095982327;0.140228112377312;0.141203066362838;0.142105157320216;0.14294225913266;0.143721150616272;0.144447699495174;0.145127010492221;0.145763545443998;0.146361221417598;0.146923491390251;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;5;4;0.29;5;2;3;0.16;0.22;0.19;5;0.0644071361007805;0.10010893769386;0.122798617448057;0.138493371141754;0.149995852217974;0.158787871004659;0.165726493560302;0.171341894437338;0.175979638473005;0.179874598782203;0.183191991784122;0.186051417529843;0.188541586566621;0.190729687508362;0.192667540566043;0.194395753985698;0.195946600759984;0.197346052860359;0.198615247445474;0.199771561862767;0.200829414035125;0.201800866734161;0.202696089601645;0.203523716512814;0.204291124933949;0.205004656441972;0.20566979237353;0.206291294905954;0.206873321254968;0.207419516781607;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;3;4;0.23;5;4;2;0.13;0.15;0.33;5;0.117580844648085;0.265103590089243;0.226919454448608;0.295957219472707;0.299635374264606;0.318382367390259;0.335841473143953;0.352140997901415;0.367642662869162;0.382450350646973;0.39636365950486;0.359715982304105;0.368862790505063;0.377449903927092;0.385527169237852;0.39313868460429;0.400323605143512;0.407116816638423;0.413549501987997;0.419649619801723;0.425442310635026;0.430950243315308;0.436193911418959;0.441191888074173;0.445961045767385;0.450516746635562;0.45495074806071;0.45921760995422;0.463305511458335;0.467225480226644;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;5;2;0.11;5;4;4;0.17;0.29;0.18;3;0.113133277386114;0.183339090606214;0.245599165818022;0.277933259383964;0.290523911072843;0.316428903847495;0.34196450878937;0.349888342516203;0.368913930848977;0.386073241648443;0.325945476246123;0.325723644899918;0.336750339356065;0.346847021851366;0.346219335872552;0.347057409636577;0.355844959188811;0.363908447266437;0.361358880674403;0.368542918656565;0.37520404075492;0.372959177441655;0.378571399559822;0.384140501261196;0.389425383889027;0.387033033802524;0.391533628821906;0.39597879599511;0.393992238589773;0.397916411163463;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;3;2;0.13;3;2;1;0.12;0.33;0.35;3;0.0453443785106378;0.0654409915895994;0.0836283314434267;0.100166144474468;0.115269104885347;0.129116184581425;0.141857778927188;0.153621191353358;0.164514901486542;0.17463192036154;0.18405245268438;0.192846027556724;0.201073217487085;0.208787035606193;0.21603407923967;0.222855471979494;0.229287644495153;0.235362985395825;0.241110386694268;0.246555703261602;0.251722141690099;0.256630590901687;0.261299904435512;0.26574714245818;0.269987780045578;0.274035887095906;0.277904284281748;0.281604678683377;0.285147782126136;0.288543414741535;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;5;4;0.28;1;3;4;0.05;0.3;0.3;5;0.164571488665208;0.197343710961478;0.214333634684651;0.223947603464256;0.232570131203275;0.239223953468173;0.24420550533297;0.248048644685514;0.251104153920653;0.253611637310522;0.255710446932258;0.257483740548393;0.259005189502072;0.260319022679012;0.261464965851259;0.262477769152192;0.263375310514261;0.264176206654417;0.264896559526844;0.265548340788759;0.266139699039538;0.266678664291627;0.267171904033969;0.267625000461335;0.268042662661827;0.268428890895607;0.268787105127109;0.269122425847405;0.26943542920716;0.269727957394814;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;4;4;0.15;1;4;2;0.06;0.33;0.13;5;0.284609487045233;0.259695634862593;0.283449255757674;0.287283833123728;0.307447429821627;0.327618012787316;0.343476793282808;0.35627284664671;0.366815277517504;0.375651259320007;0.383778364586395;0.396001324770114;0.40672362126291;0.416205634179733;0.424650799057648;0.432220366929378;0.439043799679043;0.445226235763221;0.450867913609104;0.45607355808024;0.460850579337936;0.465249822220173;0.469314395589627;0.473081089694372;0.476581492922638;0.479842879793076;0.482888923047728;0.485740269198257;0.488415007126681;0.490929052228373;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;5;2;0.14;2;4;4;0.06;0.18;0.28;2;0.113625706862848;0.144104150179509;0.181973803544548;0.209713713113301;0.229225268724102;0.243352490866125;0.254140929759676;0.260978988997355;0.266490127970942;0.271012127184552;0.274789353495277;0.278013936928482;0.280784737891621;0.283189594635995;0.285296512642032;0.287157629851699;0.288813589506201;0.290296542424234;0.291639081618591;0.292878124344348;0.294005255755765;0.295034982599465;0.295979408181192;0.296848710314447;0.297651509577842;0.298404678080054;0.299109195366489;0.299765364156825;0.300377996316504;0.30095128568193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;4;3;0.1;3;2;1;0.08;0.16;0.14;3;0.0784533371784009;0.0962550574185657;0.108284477712692;0.116957466368417;0.123506799764921;0.12862739265886;0.13274078608274;0.136117539076608;0.138939269376508;0.141332425220205;0.143387755127503;0.145172076017667;0.146735674133351;0.148117119431975;0.149346490017971;0.150447587256808;0.151439491889783;0.152337679072822;0.153154831618169;0.15390144262428;0.154586268495402;0.155216673962134;0.155798897992959;0.1563382609797;0.156839327790853;0.157306037284028;0.157741806060141;0.158149612244374;0.158532063640238;0.158891453554748;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
